,FeatureIdx,Count_Fibroblast(EdUScreen),Count_EdUPositive(EdUScreen),RatioEduPositive(EdUScreen),Mean_Mean_Cytoplasm_Intensity_IntegratedIntensity_CorrSMA,Mean_Macrophage_count,Nuclei_Count(aSMA),Cell_Count(aSMA)
1239,1740,9.45,8.85,0.9081499056499056,188.72849117014,23.0,7.0,7.6
1240,1741,10.25,5.2,0.5564525752025752,179.37155818025917,22.375,6.5,7.95
1241,1742,8.11111111111111,6.5,0.8312008978675647,158.4252902713203,22.25,7.0,8.95
1242,1743,9.444444444444443,5.166666666666667,0.5931827431827429,198.6666606463073,19.0,9.5,9.6
1243,1744,10.210526315789474,4.2631578947368425,0.4524630177636532,149.97886647735734,23.875,9.0,9.526315789473683
1244,1745,9.55,4.25,0.4741774891774891,177.83762791789283,15.125,8.0,8.95
1245,1746,10.8,4.05,0.40192120379620383,194.7426193955257,14.75,9.5,10.25
1246,1747,10.555555555555557,4.9444444444444455,0.5035403639570306,163.31087443770687,20.25,9.0,9.5
1247,1750,8.888888888888891,5.6111111111111125,0.659870530703864,205.75605295323865,18.25,8.0,8.25
1248,1751,9.55,5.2,0.5774864188099482,172.07749048236846,16.25,8.5,9.0
1249,1753,9.6,4.95,inf,164.6866034015934,23.5,8.5,9.45
1250,1754,10.05,4.8,0.5351742701742701,179.93920531570026,17.0,6.5,7.65
1251,1755,8.95,6.0,0.8024740537240538,156.3396347555906,19.375,8.5,8.65
1252,1756,9.842105263157897,5.842105263157895,0.6329927382558962,196.8667467508289,15.0,7.5,7.5
1253,1757,8.473684210526315,5.526315789473684,0.7298136074451863,165.6171072095519,21.75,9.0,9.05
1254,1758,9.894736842105264,5.315789473684211,0.6022211706422231,160.71273504737871,16.125,8.0,8.9
1255,1759,8.85,5.9,0.7993782769518064,169.84675020689662,20.875,8.5,8.15
1256,1760,9.2,5.55,0.6285936285936287,186.015737025006,16.25,9.0,9.368421052631579
1257,1761,8.55,6.05,0.7280032467532467,156.5599984313476,22.375,7.5,8.35
1258,1762,9.368421052631579,5.947368421052633,0.6742726915327535,175.47012226531223,19.625,8.0,7.7894736842105265
1259,1763,10.105263157894736,6.421052631578947,0.6302069275753487,177.24137605480846,17.25,8.5,8.444444444444445
1260,1764,7.95,6.35,0.8429310966810967,172.77522782313937,20.625,7.5,8.55
1261,1765,9.176470588235292,5.705882352941178,0.6765408610996845,191.5611273695132,16.875,8.0,8.368421052631579
1262,1766,9.25,5.2,0.6109324703074703,178.8202578723476,24.25,7.0,7.36842105263158
1263,1768,8.1,4.45,0.5664704739704739,161.14547873511972,24.875,6.0,7.947368421052633
1264,1770,9.9,4.95,0.5684008883273588,159.78704655167354,22.57142857142857,9.5,9.55
1265,1771,9.05,5.75,0.6704656454656455,190.10145428909075,20.625,8.0,7.7894736842105265
1266,1772,8.736842105263158,5.63157894736842,0.7176954022929255,184.1523058712245,21.375,8.5,8.45
1267,1773,8.2,5.4,0.7045734126984127,195.34980416804558,19.75,6.0,7.0
1268,1774,8.7,5.15,0.6331243756243755,144.45465827268464,24.375,10.0,9.947368421052632
1269,1775,8.65,5.05,0.609793956043956,170.4732208568653,18.75,9.0,9.55
1270,1776,8.8,5.6,0.6621510434010435,182.96204819459552,23.375,9.0,8.85
1271,1777,10.4,5.75,0.6025232406482406,186.76621181803475,18.125,9.0,10.1
1272,1778,9.722222222222221,6.1111111111111125,0.676287020894864,179.02511705579914,20.0,8.0,8.684210526315791
1273,1780,10.277777777777779,5.5,0.5579500746167413,178.70377103863672,16.875,10.0,10.25
1274,1781,8.578947368421053,5.842105263157895,0.7447902974218765,205.0657539537665,20.25,9.0,9.210526315789474
1275,1783,9.0,5.368421052631579,0.6565251269198638,184.87847789902847,19.25,7.5,7.111111111111112
